# Reference TAS (video 3EjTKqNN8p8) stage timings; F-counter reads at board reveals
# start = reveal - 16 (our stage-start criterion); FINAL frame ~76663
label	reveal	start
stage01	214	198
stage02	2265	2249
stage03	4164	4148
stage04	5818	5802
stage05	7201	7185
bonusA	8525	8509
stage06	10733	10717
stage07	11856	11840
stage08	12998	12982
stage09	14139	14123
stage10	15398	15382
bonusB	16728	16712
stage11	18969	18953
stage12	19928	19912
stage13	20906	20890
stage14	21871	21855
stage15	22938	22922
bonusC	23992	23976
stage16	26244	26228
stage17	27127	27111
stage18	28219	28203
stage19	29213	29197
stage20	30333	30317
bonusD	31196	31180
stage21	33460	33444
stage22	34427	34411
stage23	35598	35582
stage24	36592	36576
stage25	37704	37688
bonusE	38679	38663
stage26	40932	40916
stage27	41850	41834
stage28	42872	42856
stage29	43906	43890
stage30	44755	44739
bonusF	45838	45822
stage31	48082	48066
stage32	49262	49246
stage33	50213	50197
stage34	51190	51174
stage35	52260	52244
bonusG	53237	53221
stage36	55493	55477
stage37	56374	56358
stage38	57436	57420
stage39	58513	58497
bonusH	59488	59472
stage40	61731	61715
stage41	62821	62805
stage42	63894	63878
stage43	64861	64845
stage44	65800	65784
bonusI	66769	66753
stage45	69018	69002
stage46	70058	70042
stage47	71045	71029
stage48	72020	72004
stage49	73077	73061
bonusJ	73899	73883
stage50	76112	76096
FINAL	76663	76663
